Timestamp,SystemCodeNumber,Capacity,Occupancy,VehicleType,TrafficConditionNearby,QueueLength,IsSpecialDay,Latitude,Longitude
2016-10-04 07:59:00,BHMBCCMKT01,577,61,car,low,1,0,26.14453614,91.73617216
2016-10-04 08:25:00,BHMBCCMKT01,577,64,car,low,1,0,26.14453614,91.73617216
2016-10-04 08:59:00,BHMBCCMKT01,577,80,car,low,2,0,26.14453614,91.73617216
2016-10-04 09:32:00,BHMBCCMKT01,577,107,car,low,2,0,26.14453614,91.73617216
2016-10-04 09:59:00,BHMBCCMKT01,577,150,bike,low,2,0,26.14453614,91.73617216
2016-10-04 10:26:00,BHMBCCMKT01,577,177,car,low,3,0,26.14453614,91.73617216
2016-10-04 10:59:00,BHMBCCMKT01,577,219,truck,high,6,0,26.14453614,91.73617216
2016-10-04 11:25:00,BHMBCCMKT01,577,247,car,average,5,0,26.14453614,91.73617216
2016-10-04 11:59:00,BHMBCCMKT01,577,259,cycle,average,5,0,26.14453614,91.73617216
2016-10-04 12:29:00,BHMBCCMKT01,577,266,bike,high,8,0,26.14453614,91.73617216
2016-10-04 13:02:00,BHMBCCMKT01,577,269,car,high,7,0,26.14453614,91.73617216
2016-10-04 13:29:00,BHMBCCMKT01,577,263,car,high,7,0,26.14453614,91.73617216
2016-10-04 14:02:00,BHMBCCMKT01,577,238,car,high,5,0,26.14453614,91.73617216
2016-10-04 14:29:00,BHMBCCMKT01,577,215,truck,average,3,0,26.14453614,91.73617216
2016-10-04 14:57:00,BHMBCCMKT01,577,192,bike,average,3,0,26.14453614,91.73617216
2016-10-04 15:30:00,BHMBCCMKT01,577,165,car,low,2,0,26.14453614,91.73617216
2016-10-04 16:04:00,BHMBCCMKT01,577,162,bike,low,1,0,26.14453614,91.73617216
2016-10-04 16:31:00,BHMBCCMKT01,577,143,car,average,2,0,26.14453614,91.73617216
2016-10-05 07:57:00,BHMBCCMKT01,577,54,car,low,1,0,26.14453614,91.73617216
2016-10-05 08:30:00,BHMBCCMKT01,577,59,car,average,1,0,26.14453614,91.73617216
2016-10-05 09:04:00,BHMBCCMKT01,577,71,car,low,2,0,26.14453614,91.73617216
2016-10-05 09:30:00,BHMBCCMKT01,577,83,car,average,2,0,26.14453614,91.73617216
2016-10-05 10:04:00,BHMBCCMKT01,577,114,car,low,3,0,26.14453614,91.73617216
2016-10-05 10:30:00,BHMBCCMKT01,577,128,truck,high,4,0,26.14453614,91.73617216
2016-10-05 11:04:00,BHMBCCMKT01,577,148,bike,average,4,0,26.14453614,91.73617216
2016-10-05 11:30:00,BHMBCCMKT01,577,162,car,average,4,0,26.14453614,91.73617216
2016-10-05 12:04:00,BHMBCCMKT01,577,178,car,high,6,0,26.14453614,91.73617216
2016-10-05 12:30:00,BHMBCCMKT01,577,183,car,high,7,0,26.14453614,91.73617216
2016-10-05 12:57:00,BHMBCCMKT01,577,175,car,high,7,0,26.14453614,91.73617216
2016-10-05 13:30:00,BHMBCCMKT01,577,179,truck,high,6,0,26.14453614,91.73617216
2016-10-05 13:57:00,BHMBCCMKT01,577,174,car,average,4,0,26.14453614,91.73617216
2016-10-05 14:30:00,BHMBCCMKT01,577,158,car,high,5,0,26.14453614,91.73617216
2016-10-05 14:57:00,BHMBCCMKT01,577,145,car,average,3,0,26.14453614,91.73617216
2016-10-05 15:30:00,BHMBCCMKT01,577,129,car,low,2,0,26.14453614,91.73617216
2016-10-05 16:04:00,BHMBCCMKT01,577,121,car,low,2,0,26.14453614,91.73617216
2016-10-05 16:30:00,BHMBCCMKT01,577,114,bike,low,1,0,26.14453614,91.73617216
2016-10-06 07:57:00,BHMBCCMKT01,577,58,car,low,1,0,26.14453614,91.73617216
2016-10-06 08:30:00,BHMBCCMKT01,577,63,car,low,1,0,26.14453614,91.73617216
2016-10-06 08:57:00,BHMBCCMKT01,577,70,car,low,1,0,26.14453614,91.73617216
2016-10-06 09:30:00,BHMBCCMKT01,577,95,car,low,2,0,26.14453614,91.73617216
2016-10-06 10:03:00,BHMBCCMKT01,577,135,car,low,3,0,26.14453614,91.73617216
2016-10-06 10:30:00,BHMBCCMKT01,577,160,car,average,3,0,26.14453614,91.73617216
2016-10-06 10:57:00,BHMBCCMKT01,577,177,car,average,3,0,26.14453614,91.73617216
2016-10-06 11:30:00,BHMBCCMKT01,577,191,cycle,average,4,0,26.14453614,91.73617216
2016-10-06 12:04:00,BHMBCCMKT01,577,199,car,high,7,0,26.14453614,91.73617216
2016-10-06 12:30:00,BHMBCCMKT01,577,206,car,high,7,0,26.14453614,91.73617216
2016-10-06 12:57:00,BHMBCCMKT01,577,198,car,average,5,0,26.14453614,91.73617216
2016-10-06 13:30:00,BHMBCCMKT01,577,208,bike,high,7,0,26.14453614,91.73617216
2016-10-06 13:57:00,BHMBCCMKT01,577,200,car,average,5,0,26.14453614,91.73617216
2016-10-06 14:30:00,BHMBCCMKT01,577,175,cycle,average,3,0,26.14453614,91.73617216
